id,brand,model,image
1,BMW,X3,https://www.motortrend.com/uploads/sites/10/2018/08/2019-bmw-x3-suv-angular-front.png?fit=around%7C875:492.1875
2,BMW,X2,https://www.motortrend.com/uploads/sites/10/2021/04/2022-bmw-x2-m35i-4wd-suv-angular-front.png?fit=around%7C960:600
3,BMW,X1,https://www.motortrend.com/uploads/sites/10/2020/04/2020-bmw-x1-xdrive-28i-suv-angular-front.png?fit=around%7C960:600
4,BMW,M5,https://www.motortrend.com/uploads/sites/10/2019/08/2020-bmw-m5-sedan-angular-front.png?fit=around%7C875:492.1875
5,BMW,M3,https://www.motortrend.com/uploads/sites/10/2022/01/2021-bmw-m3-competition-sedan-angular-front.png?fit=around%7C960:600
6,BMW,5 Series,https://www.motortrend.com/uploads/sites/10/2019/08/2020-bmw-5-series-m-sport-sedan-angular-front.png?fit=around%7C960:600
7,BMW,4 Series,https://www.motortrend.com/uploads/sites/10/2019/06/2020-bmw-4-series-430i-luxury-coupe-angular-front.png?fit=around%7C960:600
8,BMW,3 Series,https://www.motortrend.com/uploads/sites/10/2019/09/2020-bmw-3-series-330i-sport-line-sedan-angular-front.png?fit=around%7C875:492.1875
9,Chevrolet,Aveo,https://www.motortrend.com/uploads/sites/10/2015/11/2011-chevrolet-aveo-1ls-sd-sedan-angular-front.png?fit=around%7C1000:625
10,Chevrolet,Blazer,https://www.motortrend.com/uploads/sites/10/2019/11/2020-chevrolet-blazer-premier-4wd-suv-angular-front.png?fit=around%7C875:492.1875
11,Chevrolet,Colorado,https://www.motortrend.com/uploads/sites/10/2019/10/2020-chevrolet-colorado-wt-ext-cab-pick-up-angular-front.png?fit=around%7C960:600
12,Chevrolet,Cruze,https://www.motortrend.com/uploads/sites/10/2015/11/2011-chevrolet-cruze-4-door-sedan-ltz-angular-front.png?fit=around%7C875:492.1875
13,Chevrolet,Equinox,https://www.motortrend.com/uploads/sites/10/2020/11/2021-chevrolet-equinox-lt-4wd-suv-angular-front.png?fit=around%7C875:492.1875
14,Chevrolet,Spark,https://www.motortrend.com/uploads/sites/10/2020/12/2021-chevrolet-spark-ls-5door-hatchback-angular-front.png?fit=around%7C875:492.1875
15,Chevrolet,Sonic,https://www.motortrend.com/uploads/sites/10/2019/09/2020-chevrolet-sonic-lt-automatic-sedan-angular-front.png?fit=around%7C960:600
16,Chevrolet,Trax,https://www.motortrend.com/uploads/sites/10/2019/08/2020-chevrolet-trax-ls-suv-angular-front.png?fit=around%7C960:600
17,Chevrolet,Trailblazer,https://www.motortrend.com/uploads/sites/5/2020/06/2021-chevrolet-trailblazer.png?fit=around%7C875:492.1875
18,Ford,Explorer,https://www.motortrend.com/uploads/sites/10/2021/07/2021-ford-explorer-st-4wd-suv-angular-front.png?fit=around%7C960:600
19,Ford,Everest,https://heyoto.vn/wp-content/uploads/2020/11/new-ford-everest-mau-xam.jpg
20,Ford,Territory,https://baogiaxeford.com/wp-content/uploads/2020/08/ford-territory-2023-mau-trang.png
21,Ford,Focus,https://www.motortrend.com/uploads/sites/10/2017/10/2018-ford-focus-se-sedan-angular-front.png
22,Ford,EcoSport,https://www.motortrend.com/uploads/sites/10/2022/04/2022-ford-ecosport-se-suv-angular-front.png?fit=around%7C875:492.1875
23,Ford,Ranger,https://www.motortrend.com/uploads/sites/10/2020/03/2020-ford-ranger-xlt-crew-cab-pick-up-angular-front.png?fit=around%7C875:492.1875
24,Honda,Brio,https://www.honda.com.vn/o-to/san-pham/honda-brio/dist/assets//images/s-color/silver/F4.jpg
25,Honda,City,https://honda-angiang.com/public/upload/images/hinhsanpham/honda-city-2020-5411608285273.jpg
26,Honda,Jazzz,https://i.i-sgcm.com/new_cars/cars/11531/11531_m.jpg
27,Honda,Civic,https://hondaotobinhduong.net/wp-content/uploads/2019/11/honda-civic-2022.jpg
28,Honda,CR-V,"https://images.dealer.com/ddc/vehicles/2022/Honda/CR-V/SUV/color/Sonic%20Grey%20Pearl-NH_877P-91,90,96-640-en_CA.jpg"
29,Honda,HR-V,https://www.honda.com.sg/images/cars/All-New_HRV_2021/Colours/Opal-White-v3.jpg
30,Honda,Accord,https://vcdn1-vnexpress.vnecdn.net/2021/12/21/honda-accord-1640052312-6504-1640052801.jpg?w=0&h=0&q=100&dpr=2&fit=crop&s=Zg1k4qvFS0vFv7HfNbk5BQ
31,Honda,Odyssey,https://cars.usnews.com/static/images/Auto/izmo/i159615163/2023_honda_odyssey_angularfront.jpg
32,Hyundai,Grand i10,https://hyundaibacninh5s.com/wp-content/uploads/2018/05/i10-gris-1.png
33,Hyundai,Accent,https://s7d1.scene7.com/is/image/hyundai/2022-accent-se-olympus-silver-centered-browse-hero:Browse?fmt=webp-alpha
34,Hyundai,Elantra,https://heyoto.vn/wp-content/uploads/2022/09/hyundai-elantra-2-0-at.jpg
35,Hyundai,Stargazer,https://giaxehoi.vn/uploads/Xe/Hyundai/Hyundai-Stargazer/gia-xe-hyundai-stargazer-2023-giaxehoi-vn-500x299.png
36,Hyundai,Creta,https://drive.gianhangvn.com/image/creta-trang-logo-2076124j29320.jpg
37,Hyundai,Tucson,https://www.motortrend.com/uploads/sites/10/2020/12/2021-hyundai-tucson-sel-4wd-suv-angular-front.png
38,Hyundai,SantaFe,https://platform.cstatic-images.com/large/in/v2/stock_photos/19628685-d640-496a-8abc-a78e7a92fc98/412c5f84-fa82-457d-bb86-c6d7b4f02534.png
39,Hyundai,Palisade,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmgsFStFm9a9kRrC8Jvx8g-zcfo5AiO7cwTg&usqp=CAU
40,Hyundai,Santa Cruz,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjqM3zrSzNGEnVu85wj1ER_ep1XpNtPAcXEg&usqp=CAU
